subject_id,T0,T2,T3,T6,T10
99695986,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99695989,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99695991,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99695992,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99695994,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99695998,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696000,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696003,[1. 1. 0. 5.],[1. 0. 0.],[0. 1. 0.],[0. 0. 0. 1.],[0. 1. 0. 0.]
99696005,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696006,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696011,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696013,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696016,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[2. 1. 2. 0.],[0. 0. 0. 0.]
99696017,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[3. 0. 4. 0.],[0. 0. 0. 0.]
99696018,[3. 0. 0. 4.],[2. 1. 0.],[0. 0. 0.],[0. 2. 0. 1.],[0. 0. 0. 0.]
99696019,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[3. 0. 3. 0.],[0. 0. 0. 0.]
99696020,[2. 0. 2. 3.],[0. 3. 1.],[0. 2. 0.],[0. 1. 1. 2.],[0. 0. 0. 2.]
99696022,[1. 2. 1. 3.],[0. 2. 0.],[1. 2. 0.],[0. 1. 1. 0.],[0. 3. 0. 0.]
99696023,[7. 0. 0. 0.],[6. 1. 0.],[0. 0. 0.],[2. 1. 2. 2.],[0. 0. 0. 0.]
99696024,[1. 1. 2. 3.],[1. 2. 0.],[1. 1. 1.],[0. 1. 2. 0.],[0. 1. 1. 1.]
99696026,[6. 0. 1. 0.],[6. 0. 1.],[0. 1. 0.],[1. 1. 5. 0.],[1. 0. 0. 0.]
99696027,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696040,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696043,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696046,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696048,[6. 0. 0. 1.],[5. 0. 1.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99696050,[2. 2. 1. 2.],[2. 1. 0.],[1. 2. 0.],[0. 1. 2. 0.],[0. 2. 1. 0.]
99696054,[7. 0. 0. 0.],[6. 1. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99696056,[5. 0. 1. 1.],[5. 1. 0.],[0. 0. 1.],[0. 1. 0. 5.],[1. 0. 0. 0.]
99696059,[7. 0. 0. 0.],[6. 1. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99696062,[5. 0. 1. 1.],[6. 0. 0.],[0. 1. 0.],[2. 1. 3. 0.],[0. 0. 0. 1.]
99696064,[6. 0. 1. 0.],[6. 1. 0.],[0. 1. 0.],[0. 0. 1. 6.],[0. 1. 0. 0.]
99696067,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[0. 1. 1. 3.],[0. 0. 0. 0.]
99696069,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[1. 2. 3. 0.],[0. 0. 0. 0.]
99696070,[3. 3. 1. 0.],[0. 4. 0.],[0. 3. 1.],[0. 2. 1. 1.],[1. 1. 0. 2.]
99696071,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696072,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0. 0.],[0. 0. 0. 0.]
99696074,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696075,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696076,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0. 0.],[0. 0. 0. 0.]
99696077,[0. 0. 1. 6.],[0. 0. 1.],[0. 1. 0.],[0. 1. 0. 0.],[1. 0. 0. 0.]
99696078,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696079,[7. 0. 0. 0.],[5. 2. 0.],[0. 0. 0.],[0. 1. 1. 5.],[0. 0. 0. 0.]
99696094,[5. 1. 0. 1.],[5. 0. 0.],[1. 0. 0.],[0. 0. 0. 5.],[0. 0. 0. 1.]
99696095,[3. 0. 0. 4.],[3. 0. 0.],[0. 0. 0.],[1. 1. 0. 1.],[0. 0. 0. 0.]
99696100,[1. 0. 2. 4.],[1. 1. 1.],[2. 0. 0.],[0. 0. 1. 2.],[0. 1. 0. 1.]
99696101,[4. 0. 0. 3.],[3. 0. 1.],[0. 0. 0.],[0. 4. 0. 0.],[0. 0. 0. 0.]
99696104,[6. 0. 0. 1.],[5. 1. 0.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99696107,[3. 1. 0. 3.],[2. 1. 0.],[0. 0. 1.],[0. 0. 0. 3.],[0. 0. 1. 0.]
99696109,[5. 0. 1. 1.],[6. 0. 0.],[1. 0. 0.],[1. 0. 2. 3.],[0. 1. 0. 0.]
99696113,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696114,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696118,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696119,[2. 1. 0. 4.],[2. 0. 0.],[0. 1. 0.],[0. 0. 1. 1.],[1. 0. 0. 0.]
99696120,[9. 0. 0. 0.],[9. 0. 0.],[0. 0. 0.],[1. 1. 7. 0.],[0. 0. 0. 0.]
99696122,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 1. 0. 5.],[0. 0. 0. 0.]
99696123,[4. 0. 2. 1.],[6. 0. 0.],[0. 2. 0.],[1. 0. 4. 1.],[0. 1. 0. 1.]
99696124,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696125,[2. 0. 0. 5.],[1. 1. 0.],[0. 0. 0.],[0. 1. 0. 1.],[0. 0. 0. 0.]
99696126,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 4. 1. 1.],[0. 0. 0. 0.]
99696129,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 6. 1.],[0. 0. 0. 0.]
99696130,[5. 1. 0. 1.],[5. 0. 0.],[1. 0. 0.],[0. 1. 4. 0.],[0. 1. 0. 0.]
99696131,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696132,[2. 0. 4. 1.],[6. 0. 0.],[1. 3. 0.],[0. 3. 1. 2.],[0. 1. 0. 3.]
99696152,[0. 6. 1. 0.],[1. 0. 0.],[0. 7. 0.],[0. 0. 0. 1.],[0. 2. 0. 5.]
99696154,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[2. 0. 4. 0.],[0. 0. 0. 0.]
99696156,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[1. 0. 4. 1.],[0. 0. 0. 0.]
99696158,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[0. 0. 0. 5.],[0. 0. 0. 0.]
99696160,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696163,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 1. 6. 0.],[0. 0. 0. 0.]
99696165,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696167,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696169,[4. 0. 0. 3.],[4. 0. 0.],[0. 0. 0.],[0. 2. 0. 2.],[0. 0. 0. 0.]
99696171,[6. 0. 1. 0.],[5. 1. 1.],[0. 1. 0.],[0. 1. 2. 4.],[0. 1. 0. 0.]
99696174,[7. 0. 0. 0.],[6. 1. 0.],[0. 0. 0.],[2. 2. 1. 2.],[0. 0. 0. 0.]
99696176,[1. 0. 1. 5.],[2. 0. 0.],[1. 0. 0.],[1. 1. 0. 0.],[0. 0. 1. 0.]
99696177,[6. 1. 0. 0.],[6. 0. 0.],[0. 1. 0.],[1. 1. 3. 1.],[1. 0. 0. 0.]
99696178,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696179,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696180,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696181,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696183,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696185,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696186,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696187,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696193,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696194,[0. 0. 1. 6.],[0. 1. 0.],[0. 1. 0.],[0. 0. 1. 0.],[0. 1. 0. 0.]
99696196,[0. 0. 2. 5.],[1. 1. 0.],[1. 1. 0.],[0. 2. 0. 0.],[1. 0. 0. 1.]
99696197,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696198,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696199,[0. 1. 1. 5.],[0. 1. 0.],[2. 0. 0.],[0. 0. 0. 1.],[0. 0. 0. 2.]
99696201,[7. 0. 0. 0.],[2. 0. 5.],[0. 0. 0.],[0. 2. 1. 4.],[0. 0. 0. 0.]
99696202,[5. 1. 0. 1.],[5. 0. 0.],[1. 0. 0.],[2. 0. 3. 0.],[0. 1. 0. 0.]
99696204,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 0. 6. 0.],[0. 0. 0. 0.]
99696205,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99696206,[5. 1. 0. 1.],[5. 0. 0.],[1. 0. 0.],[0. 3. 1. 1.],[0. 1. 0. 0.]
99696207,[7. 0. 0. 0.],[6. 1. 0.],[0. 0. 0.],[1. 1. 0. 5.],[0. 0. 0. 0.]
99696208,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 4. 2. 0.],[0. 0. 0. 0.]
99696211,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696213,[3. 0. 1. 3.],[3. 1. 0.],[0. 1. 0.],[0. 0. 0. 4.],[0. 0. 0. 1.]
99696216,[7. 0. 0. 0.],[4. 0. 3.],[0. 0. 0.],[2. 2. 1. 2.],[0. 0. 0. 0.]
99696218,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 1. 0. 5.],[0. 0. 0. 0.]
99696220,[2. 0. 1. 4.],[2. 1. 0.],[1. 0. 0.],[0. 2. 0. 1.],[0. 0. 1. 0.]
99696223,[6. 1. 0. 0.],[5. 0. 1.],[0. 1. 0.],[0. 0. 0. 6.],[0. 1. 0. 0.]
99696229,[7. 0. 0. 0.],[6. 0. 1.],[0. 0. 0.],[3. 1. 2. 1.],[0. 0. 0. 0.]
99696230,[2. 0. 0. 5.],[2. 0. 0.],[0. 0. 0.],[1. 1. 0. 0.],[0. 0. 0. 0.]
99696232,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[1. 1. 0. 3.],[0. 0. 0. 0.]
99696251,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[2. 1. 4. 0.],[0. 0. 0. 0.]
99696254,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0. 0.],[0. 0. 0. 0.]
99696256,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 2. 4. 0.],[0. 0. 0. 0.]
99696257,[6. 1. 0. 0.],[6. 0. 0.],[0. 1. 0.],[1. 2. 3. 0.],[1. 0. 0. 0.]
99696258,[1. 4. 0. 2.],[1. 0. 0.],[2. 2. 0.],[0. 0. 1. 0.],[0. 4. 0. 0.]
99696259,[2. 1. 3. 1.],[2. 3. 0.],[1. 3. 0.],[1. 0. 4. 0.],[0. 2. 1. 1.]
99696260,[0. 6. 1. 0.],[0. 1. 0.],[0. 7. 0.],[0. 0. 1. 0.],[0. 3. 4. 0.]
99696262,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696263,[0. 3. 2. 2.],[1. 1. 0.],[0. 5. 0.],[0. 0. 0. 2.],[0. 5. 0. 0.]
99696264,[3. 0. 2. 2.],[1. 1. 3.],[0. 1. 1.],[0. 2. 1. 2.],[0. 1. 1. 0.]
99696266,[4. 0. 2. 1.],[4. 0. 2.],[0. 2. 0.],[0. 1. 0. 5.],[1. 1. 0. 0.]
99696268,[0. 7. 0. 0.],[0. 0. 0.],[0. 7. 0.],[0. 0. 0. 0.],[0. 4. 1. 2.]
99696271,[0. 4. 3. 0.],[2. 0. 1.],[1. 6. 0.],[0. 1. 1. 1.],[1. 1. 2. 3.]
99696276,[1. 1. 3. 2.],[1. 0. 3.],[1. 2. 1.],[0. 0. 2. 2.],[0. 1. 2. 1.]
99696277,[6. 0. 0. 1.],[5. 1. 0.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99696280,[5. 0. 1. 1.],[4. 1. 1.],[0. 1. 0.],[0. 2. 4. 0.],[0. 1. 0. 0.]
99696282,[7. 0. 0. 0.],[5. 1. 1.],[0. 0. 0.],[0. 1. 6. 0.],[0. 0. 0. 0.]
99696283,[1. 1. 5. 0.],[6. 0. 0.],[1. 5. 0.],[0. 2. 0. 4.],[0. 1. 0. 5.]
99696287,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 3. 2. 1.],[0. 0. 0. 0.]
99696289,[3. 1. 2. 1.],[4. 0. 1.],[1. 1. 1.],[0. 3. 2. 0.],[1. 1. 1. 0.]
99696293,[0. 5. 2. 0.],[1. 0. 1.],[4. 1. 2.],[0. 0. 0. 2.],[0. 2. 1. 4.]
99696313,[0. 6. 0. 1.],[0. 0. 0.],[0. 5. 1.],[0. 0. 0. 0.],[0. 6. 0. 0.]
99696314,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696315,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 0. 5. 1.],[0. 0. 0. 0.]
99696316,[1. 0. 5. 1.],[6. 0. 0.],[0. 2. 3.],[1. 2. 3. 0.],[0. 1. 0. 4.]
99696318,[5. 0. 2. 0.],[7. 0. 0.],[0. 2. 0.],[0. 0. 7. 0.],[0. 0. 0. 2.]
99696322,[1. 6. 0. 0.],[0. 1. 0.],[6. 0. 0.],[0. 1. 0. 0.],[0. 3. 2. 1.]
99696324,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696328,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696330,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696331,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696335,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696338,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696341,[0. 1. 0. 6.],[0. 0. 0.],[0. 1. 0.],[0. 0. 0. 0.],[1. 0. 0. 0.]
99696343,[6. 0. 1. 0.],[6. 1. 0.],[1. 0. 0.],[0. 4. 3. 0.],[0. 0. 1. 0.]
99696346,[3. 1. 1. 2.],[4. 0. 0.],[0. 2. 0.],[0. 0. 0. 4.],[0. 0. 0. 2.]
99696349,[1. 2. 3. 1.],[0. 2. 2.],[0. 5. 0.],[0. 0. 0. 4.],[0. 1. 1. 3.]
99696354,[0. 3. 0. 4.],[0. 0. 0.],[0. 3. 0.],[0. 0. 0. 0.],[0. 0. 0. 3.]
99696356,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 1. 5. 0.],[0. 0. 0. 0.]
99696358,[0. 1. 0. 6.],[0. 0. 0.],[1. 0. 0.],[0. 0. 0. 0.],[0. 1. 0. 0.]
99696360,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99696364,[6. 0. 1. 0.],[6. 0. 1.],[1. 0. 0.],[1. 4. 2. 0.],[0. 0. 1. 0.]
99696368,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[2. 0. 2. 3.],[0. 0. 0. 0.]
99696379,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[2. 0. 5. 0.],[0. 0. 0. 0.]
99696381,[1. 2. 2. 2.],[0. 3. 0.],[0. 4. 0.],[0. 1. 2. 0.],[0. 2. 2. 0.]
99696383,[1. 4. 2. 0.],[0. 3. 0.],[0. 6. 0.],[0. 1. 2. 0.],[0. 4. 2. 0.]
99696384,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[1. 2. 1. 2.],[0. 0. 0. 0.]
99696387,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99696390,[2. 0. 1. 5.],[2. 0. 1.],[0. 1. 0.],[1. 1. 1. 0.],[0. 0. 1. 0.]
99696392,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0. 0.],[0. 0. 0. 0.]
99696394,[0. 5. 1. 1.],[0. 1. 0.],[1. 5. 0.],[0. 0. 1. 0.],[0. 1. 1. 4.]
99696398,[6. 0. 1. 0.],[6. 1. 0.],[0. 0. 1.],[0. 1. 6. 0.],[0. 0. 1. 0.]
99696400,[2. 2. 0. 3.],[0. 1. 1.],[0. 2. 0.],[1. 1. 0. 0.],[0. 0. 0. 2.]
99696402,[3. 2. 2. 0.],[5. 0. 0.],[0. 4. 0.],[1. 1. 0. 3.],[0. 1. 0. 3.]
99696405,[0. 6. 1. 0.],[0. 0. 1.],[1. 5. 1.],[0. 1. 0. 0.],[0. 0. 2. 5.]
99696407,[0. 6. 1. 0.],[0. 1. 0.],[0. 7. 0.],[0. 0. 1. 0.],[0. 2. 5. 0.]
99696410,[5. 1. 0. 1.],[0. 5. 0.],[0. 1. 0.],[0. 2. 3. 0.],[0. 0. 1. 0.]
99696412,[4. 0. 3. 0.],[1. 2. 4.],[0. 3. 0.],[0. 0. 3. 4.],[0. 2. 1. 0.]
